Title,Media,Datetime,Link
Stanford prof accused of using AI to fake testimony in Minnesota case against conservative YouTuber,Fox News,2024-11-24 23:54:02.108167,https://news.google.com/read/CBMiuwFBVV95cUxNS2RmZlhFeEJ1ZGRNTXJzdnFCSGtKU2RXZ0dKT1dqdVY0cy1Ya3B2OFRlQzQ4X2JyOS14WDFkLVlGVjBsYld0QlhoVFRMX2FTMl9hN2ZEcXlrdU1DaWoxUDM3VzEzMkUwWlN1U2NQYjdjLU1MYWxGb2JFU040bWFuRnY2NGg1eldTRlVTaUxxMW1HQnV4a1YxNWtkNkxHUVpjTmhKUW9FU21QaVV3cG55WHE4TktpSEJiekhZ0gHAAUFVX3lxTE04M1NFS2cwYjlUT3FRODVMZVlJQkMxd0hSa05STzJjQ3dpV0VYdURDVkdnMENHeWNoUktVYjZGSXhaX0pzclE3OERFSjUxMW5XNmlRcENuQjEzUkFJRG5fWi01UjRtQlYxdHBzUXkzN21MdEMxQXluQ2kyZnBGWXJhbS0xZmlpV3VVbU1wZlRIM1U0ZGtGcnJlWHRCaGl0NXliM20weDVBdnhtMXphU1kzUXkzR0JZQVptS0VzN25EZw?hl=en-US&gl=US&ceid=US%3Aen
Do Coding Boot Camps Make Sense in an A.I. World?,The New York Times,2024-11-24 10:54:02.108786,https://news.google.com/read/CBMigAFBVV95cUxOdXJTUzM5Q2JfYy01d0tjTUljQVhoRzlnaEpTN0pqQmRENlkwM250WnBoYktoYmYwSVh4SFEyMWwzQ1g3Z1BFMWFiRnVNTG15TnFpLXlLLUlsYllUakVOQTRMTUpLSDg5eEVqQzhrcGs4ekpxLVhGTnJwUXB3d2lJSQ?hl=en-US&gl=US&ceid=US%3Aen
What Microsoft's AI knows about you,Axios,2024-11-25 09:54:02.109472,https://news.google.com/read/CBMidkFVX3lxTE5Ca3BocjRaSnNzWVNyOWFOc2llVnhuclZxOHk0Vno5cXZlbVA2SHRpMi1xUEhXczJfZkZ0Y3J0VWhwd3M5NHA2ZWdwNFdfX25UQWZ5Wm1wZ05zSkhQcjFNXzJOQUZoZEVscFoyU1haTGxDaFFTMVE?hl=en-US&gl=US&ceid=US%3Aen
Influencers are using AI 'women' to lead people to OnlyFans and Fanvue — where more AI awaits,Business Insider,2024-11-25 09:54:02.110087,https://news.google.com/read/CBMimwFBVV95cUxOR0Z3Z0NKWENMMlFLMnF6Vmd3T0xLdFVfbVNYRnFNcTNBOU1NRmZUczRBVDU1TXNWTldqX3hlNXAwZkx1d2V5VGZPdmtQMmNHdVRydTNfWC1xZWJOYklWbldLZjM3WDlRZzhsMW9sN1d5d2Y1MjJXM3dmMlpxTmo3bFNzUVlHaXdxRkhtN3k4VnkwU3dvdjN0MGxyQQ?hl=en-US&gl=US&ceid=US%3Aen
Jennifer Apicella: Pittsburgh leads in AI robotics,Pittsburgh Post-Gazette,2024-11-25 10:31:02.110625,https://news.google.com/read/CBMiwwFBVV95cUxOd3VoSnJ3ZWlXVzhJTXBRckl1V1RZZmlUdURBbmVmLU1vVWNGNzJyMjg3TFdyNkl5VXF2MFFCTkhXZWRzLXh6ck9mT25MX3hKUGY1LXM5SGdCMWdEVXhfdmlDVGlNR0s0b3BOUURfdkJFRmJfaUwxWWQ2cmFheHZjalpyS2w5blVwZDhOeUhlX2xOTHVDNzhzUHZDaDZoaVFtYURyTkJObmZsdkNCUFRTa3VIOHp6Uk40M21uV3NUNGZWVWs?hl=en-US&gl=US&ceid=US%3Aen
Jamie Dimon says the next generation of employees will work 3.5 days a week and live to 100 years old,Fortune,2024-11-24 12:54:02.111163,https://news.google.com/read/CBMiqAFBVV95cUxNUE5WRldKdktFX3FDMXNFZ1Nad2Y4c2lsNnZzSnhxa1pzTE9Yc3NKVDFHdEZnLVRFTTBwOFY5dzdhMEdqN2RLeDdXTXg0VmRuelVOTmtNczVJLTZyeVFtM05jbDVOX2hONmVhSkRxNjdsYS1Xbi1NTXFkSHRmM2hIblZERWNNMXVUM1A4VFpZOWtvQmcxX1BQZ1U2bFZhTlB0YzRtT25MUFE?hl=en-US&gl=US&ceid=US%3Aen
Data centers powering artificial intelligence could use more electricity than entire cities,CNBC,2024-11-23 10:54:02.111705,https://news.google.com/read/CBMiqwFBVV95cUxQS3c0eHdZSlNGWVY4aWdvUTcxVGFkM1Q5d2pLLW10dHpKZERvVWY5QXIzeWk1ckVEakF6YXhhaURTSXJYdWx6cFJqRE1EbHRfVTRNOVlhYmhYc19UTldaeEpuam55ZkZWUTZkLTJtbmpiZHF6aTI4eVVWZ1IwQ21Xb3lTRUEtRm96OUpPbjhaR0pSNkIyS3NtNGhrR292TXctMEo1S2ZCOTJhWEHSAbABQVVfeXFMUGhIOUE1ekhsQUwtbkstRHRQT0pRZG5sWVJpTG9nNnZTbmk5YVFjakZMekRJdTdnNTgyaEFOdGIxU3JXMDNNUkxpemM0OF95Q3A1aGxwbkQ0dlBiZ0VjM1FFX0VDV0k4aW9DajBpem9pNVA3MmZ0Q3N2VC04Tk5CY1J4c1NYczFKMG9Hcm5WZ3hzWS10NE9LMzF6SDNZM1BlbFBJZVRreW5RV2xGZ1ZwcVo?hl=en-US&gl=US&ceid=US%3Aen
"Labelers training AI say they're overworked, underpaid and exploited by big American tech companies",CBS News,2024-11-24 23:54:02.112230,https://news.google.com/read/CBMiugFBVV95cUxQNVlCdG9sdk5nb29EdzNaaUtiLXRVM2MzajV4aTBNRDdLVl85LUdXQUZGWGtxNklZR1J3Q3A4ODlmN0MtY281RHlMeWJfUS1iVWEyNEFUU1ZiNmx3ODV5a19XRk1PcTJTSXdCZFM2Mm45UV8xc2h0VkdtclJkanZnNDN4UnRRZkgtQnZCS2dqdkt5eGRlWVVRRVhsMl8xMUN6ZUhUS2RMdE5lTW9VOS1aN010bUVieVdpbEHSAb8BQVVfeXFMTVdmQVVpQ3NrNU1VYWhIemp0dXZuN1g0ejlUX0VRSTZaRnZ2UktqU3U3ZUZERDBWYU02OXhXTWFOZUc1SDVxRlF0TmxyNXRMOHNRcE5kN0hTMlNaSjdJOVVXbjUxNlpwRGN1YUg3T2VVZ2tQQmY4YVo2T0dJdGZuQXB3dC10b0ZWdEJManpKdFJ4OXR2RjZzc0gtT0p1aDB5bTZHOTFuY09zdERXTXhUcUNlSkJpUmNPTTRBdG12QjQ?hl=en-US&gl=US&ceid=US%3Aen
Amazon’s Moonshot Plan to Rival Nvidia in AI Chips,Bloomberg,2024-11-24 22:54:02.112745,https://news.google.com/read/CBMiowFBVV95cUxNOHBEUVBVWkg3ejcxdEU4MHZobXhnMHJVZm5hU0VSb1M3QTlsWThMd1BoLVpuQ0lQMXJNSG9QWjhtMFIycm9LRU12WTJhVmdwUnNhTHItNEFCbnNCb0hUVmFHSHVuUGk3OUpLYXZiS2EwT25HZm43ZUJGMXMySHFwX1gwOFBoYllLanc4MU81VGR3QTM3TUN0WF9DcnJ6UHJxYmdJ?hl=en-US&gl=US&ceid=US%3Aen
4 Issues That Fall Between The Cracks Of Our AI Excitement,Forbes,2024-11-24 19:54:02.113241,https://news.google.com/read/CBMitgFBVV95cUxQMUdNejRoZDhzMmVkNmdITHh6SV90MjJVVUMwM1ZjQVd0MGxzdW1zRjBKYWdiTWM1NlNLNEhGZmdxa2UxRHVfTjh3QlBIOVVUQVJKY1AzUUE1TXZ3anpXV2MyQVNpMUlna2tEM0ZaVEx3dU5tNWZTWk5uNEF0WFB1eWZ5UjgtUTY4UGZBT0JCMVQ4R1ZndHNsM1JzcGp1Tl84VkxZc3RGdVRYbEcyMTNrcng2Unhhdw?hl=en-US&gl=US&ceid=US%3Aen
It's not just a game. Your Pokemon Go player data is training AI map models.,USA TODAY,2024-11-25 10:26:02.113774,https://news.google.com/read/CBMilAFBVV95cUxQNmhRNGdxWXg1ZFFVN2JCUDRaQWlPV0hiRzRENFQ5R1VlOFUxX1E5Ukl6TzgwalBnZVRvTVdQWDZYVm9yQXVBcmVYRlZVdFlOTUdmRDRLMlVrbTZLSjlkdnBBUTktemRjWm90emNsSVl3M2FmSjZLckV6YXhyQ2JyLTk1ZktFb1dNNjIxakoxVFkzd1c1?hl=en-US&gl=US&ceid=US%3Aen
"Britain, NATO must stay ahead in 'new AI arms race', says UK minister",Reuters,2024-11-25 00:54:02.114265,https://news.google.com/read/CBMiwAFBVV95cUxObnU5dURyQW0yQjZ3aFdDXzE3T0xtZDRGWWtNT0tMS1NNbnNiSHFwTjNKYjNxWlJXbUNndGRIc0pkMHlDMzhHazN1YU5qdFBJSUF5cXVFV1VtVzNPb2FLcVRqMEI4S3QySkZTeWZVbTg4M1BUNDRWUVo2eV9kUkQyOElOeTdyeGlGblNWRTNyUUhITVdCN1hhbDNjMGhpdl84Zm9MbEw5ajlzNVhGenJUNEU1aFctRHBGUTA2TmdzUGY?hl=en-US&gl=US&ceid=US%3Aen
